,Event Name,SDK version,player_id,Platform,Current Game
98,Onboarding_SubscriptionScreen_Reached,11,0.0,Android,playhouse
99,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
100,IosTrialSuccess,,,,bath
101,GameRecommendationHomeScreen,,2932920.0,,bath
102,Interests_continueClk,13,0.0,Android,playhouse
103,PickSubject_continue,13,0.0,Android,playhouse
104,EnterEmail_reached,13,0.0,Android,playhouse
105,HomeScreen_playBtnClk,15.6.1,2389702.0,iPadOS,bikerace
106,SkidosPassReached,16.4.1,2932920.0,iPadOS,bath
107,InGameScreen_Reached,15.6.1,2389702.0,iPadOS,bikerace
108,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
109,PickSubject_continue,12,0.0,Android,superstore
110,EnterEmail_reached,12,0.0,Android,superstore
111,PaymentAckSuccess_Backend,16.4.1,2932920.0,iPadOS,bath
112,GetStarted_Carousel_moves,10,0.0,Android,playhouse
113,first_app_open,9,0.0,Android,superstore
114,GetStarted_reached,10,0.0,Android,playhouse
115,HomeScreen_playBtnClk,16.5.1,793436.0,iPadOS,streetsoccer
116,UserSubscriptionGranted,16.4.1,2932920.0,iPadOS,bath
117,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
118,InGameScreen_Reached,16.5.1,793436.0,iPadOS,streetsoccer
119,GameRecommendationV2,,2932920.0,,bath
120,SplashLocalAnimationVideo_reached,9,0.0,Android,superstore
121,GamePlay_BoySelectBtnClk,16.1.1,3039523.0,iOS,bath
122,AgeScreen_AgeSelected_cont_btn_clk,16.5.1,0.0,iPadOS,bath
123,AgeScreen_AgeSelected_cont_btn_clk,10,0.0,Android,playhouse
124,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
125,OnBoardingErrorPopUp,13,0.0,Android,playhouse
126,GetStarted_Carousel_moves,10,0.0,Android,superstore
127,GetStarted_alreadyRegisteredClk,11,0.0,Android,bakery
128,GetStarted_btnClk,11,0.0,Android,bakery
129,AgeScreen_Reached,11,0.0,Android,bakery
130,first_app_open,10,0.0,Android,superstore
131,OnBoardingErrorPopUp,12,0.0,Android,superstore
132,GetStarted_Carousel_moves,12,0.0,Android,playhouse
133,SKIDOSPASS_Continue_btn_clk,16.4.1,2932920.0,iPadOS,bath
134,HomeScreen_Reached,16.4.1,2932920.0,iPadOS,bath
135,GamePlay_BoySelectBtnClk,16.1.1,3039523.0,iOS,bath
136,CompulsoryActivityReached,15.4.1,2795568.0,iPadOS,doctor
137,LoginScreen_reached,11,0.0,Android,bakery
138,Interests_continueClk,12,0.0,Android,playhouse
139,SplashLocalAnimationVideo_reached,16.0.2,0.0,iOS,doctor
140,AgeScreen_Continue_btn_clk,16.5.1,0.0,iPadOS,bath
141,PickSubject_continue,12,0.0,Android,playhouse
142,Interests_reached,16.5.1,0.0,iPadOS,bath
143,EnterEmail_reached,12,0.0,Android,playhouse
144,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
145,HomeScrOverlayActScroll,15.4.1,2795568.0,iPadOS,doctor
146,GetStarted_Carousel_moves,10,0.0,Android,superstore
147,GetStarted_reached,10,0.0,Android,superstore
148,GetStarted_Carousel_moves,12,0.0,Android,playhouse
149,GetStarted_reached,12,0.0,Android,playhouse
150,PickSubject_continue,13,0.0,Android,superstore
151,EnterEmail_reached,13,0.0,Android,superstore
152,SplashLocalAnimationVideo_reached,10,0.0,Android,superstore
153,GetStarted_Carousel_moves,13,0.0,Android,superstore
154,GetStarted_reached,13,0.0,Android,superstore
155,HomeScrActivityClk,16.1.1,3039523.0,iOS,bath
156,HomeScrActivityClk,15.4.1,2795568.0,iPadOS,doctor
157,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
158,AgeScreen_Sel_btn_clk,10,0.0,Android,playhouse
159,AgeScreen_Continue_btn_clk,10,0.0,Android,playhouse
160,Interests_reached,10,0.0,Android,playhouse
161,GetStarted_alreadyRegisteredClk,13,0.0,Android,superstore
162,LoginScreen_reached,13,0.0,Android,superstore
163,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
164,HomeScreen_tap_tutorial,13,3183969.0,Android,superstore
165,AgeScreen_Sel_btn_clk,11,0.0,Android,bakery
166,AgeScreen_Continue_btn_clk,11,0.0,Android,bakery
167,Interests_reached,11,0.0,Android,bakery
168,GamePlay_DressingExitBtnClk,16.5.1,1996717.0,iPadOS,bath
169,Preschool_rewardscreen_Object_Clk,16.5.1,3148275.0,iOS,bath
